年份,月份,进出口,商品编码,商品描述,企业名称,出口最终国或进口原产国,收发货地,报关口岸,贸易方式,运输方式,航次,数量,金额,商品分类
2012,7,出口,1.51E+07,其他低芥子酸菜子油（包括其分离品，但未经化学改性）,进出口公司46,美国,苏州其他,深圳海关,进料加工贸易,公路运输,1,25371,19135,15
2010,8,出口,1.51E+07,其他低芥子酸菜子油（包括其分离品，但未经化学改性）,进出口公司47,厄瓜多尔,天津其他,深圳海关,进料加工贸易,公路运输,1,295119,222027,15
2010,9,出口,1.51E+07,精制非低芥子酸菜子油、芥子油,进出口公司48,新加坡,松江,杭州海关,一般贸易,水路运输,9,150,14467,15
2009,10,出口,1.51E+07,精制非低芥子酸菜子油、芥子油,进出口公司49,美国,盐城,青岛海关,一般贸易,水路运输,1,92358,82880,15
2006,11,出口,1.52E+07,初榨亚麻子油,进出口公司50,英国,成都其他,天津海关,一般贸易,水路运输,2,900,990,15
2007,12,出口,1.52E+07,精制的亚麻子油及其分离品,进出口公司51,马来西亚,太仓市,大连海关,一般贸易,水路运输,2,11210,19514,15
2007,1,出口,1.52E+07,精制的亚麻子油及其分离品,进出口公司52,泰国,天津其他,大连海关,一般贸易,水路运输,2,10640,20796,15
2008,2,出口,1.52E+07,精制的亚麻子油及其分离品,进出口公司53,美国,张家港其他,大连海关,一般贸易,水路运输,2,15200,28880,15
2012,3,出口,1.52E+07,精制的亚麻子油及其分离品,进出口公司54,阿联酋,江津区,上海海关,进料加工贸易,水路运输,2,37540,48595,15
2011,4,出口,1.52E+07,精制的亚麻子油及其分离品,进出口公司55,加拿大,上海嘉定出口加工区,大连海关,一般贸易,水路运输,2,34200,64220,15
2009,5,出口,1.52E+07,精制的亚麻子油及其分离品,进出口公司56,澳大利亚,苏州其他,大连海关,一般贸易,水路运输,2,380,652,15
2011,6,出口,1.52E+07,精制的亚麻子油及其分离品,进出口公司57,沙特阿拉伯,南京其他,大连海关,一般贸易,水路运输,4,22400,87177,15
2006,7,出口,1.52E+07,精制的亚麻子油及其分离品,进出口公司58,阿曼,苏州高新技术产业开发区,大连海关,一般贸易,水路运输,3,3990,8762,15
2008,8,出口,1.52E+07,初榨的玉米油,进出口公司59,俄罗斯,静海县,青岛海关,一般贸易,水路运输,1,42000,35060,15
2008,9,出口,1.52E+07,初榨的玉米油,进出口公司60,美国,太原其他,青岛海关,一般贸易,水路运输,1,105420,66970,15
2007,10,出口,1.52E+07,初榨的玉米油,进出口公司61,伊拉克,天津其他,青岛海关,一般贸易,水路运输,1,123000,77323,15
2011,11,出口,1.52E+07,精制的玉米油及其分离品,进出口公司62,巴基斯坦,成都其他,青岛海关,一般贸易,水路运输,1,2005200,1483544,15
2007,12,出口,1.52E+07,精制的玉米油及其分离品,进出口公司63,哈萨克斯坦,乌鲁木齐经济技术开发区,青岛海关,一般贸易,水路运输,1,13910,11387,15
2008,1,出口,1.52E+07,精制的玉米油及其分离品,进出口公司64,加拿大,惠民,青岛海关,一般贸易,水路运输,1,21000,16355,15
2007,2,出口,1.52E+07,精制的玉米油及其分离品,进出口公司65,厄瓜多尔,成都其他,青岛海关,一般贸易,水路运输,1,274020,193838,15
2006,3,出口,1.52E+07,精制的玉米油及其分离品,进出口公司66,哈萨克斯坦,乌鲁木齐其他,青岛海关,一般贸易,水路运输,1,2879920,2004174,15
2010,4,出口,1.52E+07,精制的玉米油及其分离品,进出口公司67,阿曼,上海青浦出口加工区,广州海关,一般贸易,水路运输,1,299098,220435,15
2007,5,出口,1.52E+07,精制的玉米油及其分离品,进出口公司68,伊朗,宝山,深圳海关,进料加工贸易,公路运输,2,23840,24319,15
2006,6,出口,1.21E+07,鲜或干的鱼藤根、除虫菊,进出口公司69,挪威,上海青浦出口加工区,上海海关,一般贸易,水路运输,2,12000,20392,12
2010,7,出口,1.21E+07,鲜或干的鱼藤根、除虫菊,进出口公司70,俄罗斯,德州,上海海关,一般贸易,水路运输,1,16000,3700,12
2008,8,出口,1.21E+07,鲜或干的鱼藤根、除虫菊,进出口公司71,苏丹,河北其他,上海海关,一般贸易,水路运输,1,1000,700,12
2012,9,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司72,沙特阿拉伯,吴江市,青岛海关,一般贸易,水路运输,1,24375,10000,12
2007,10,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司73,新加坡,松江,青岛海关,一般贸易,水路运输,4,3000,10077,12
2010,11,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司74,伊朗,保定其他,拱北海关,一般贸易,水路运输,2,1040,1135,12
2007,12,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司75,委内瑞拉,天津其他,福州海关,一般贸易,水路运输,5,283,1185,12
2011,1,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司76,阿曼,烟台其他,拱北海关,一般贸易,公路运输,1,30,12,12
2011,2,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司77,古巴,河南其他,上海海关,一般贸易,水路运输,2,48,1200,12
2009,3,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司78,伊拉克,天津其他,青岛海关,一般贸易,水路运输,1,18000,13500,12
2009,4,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司79,马来西亚,成都高新综合保税区,福州海关,一般贸易,水路运输,3,650,1356,12
2008,5,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司80,澳大利亚,北京其他,青岛海关,一般贸易,水路运输,1,17000,13635,12
2012,6,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司81,美国,成都其他,青岛海关,一般贸易,水路运输,1,20000,13800,12
2011,7,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司82,阿曼,南通其他,青岛海关,一般贸易,水路运输,1,24750,14000,12
2009,8,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司83,新加坡,南京其他,青岛海关,一般贸易,水路运输,1,11400,1410,12
2009,9,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司84,墨西哥,上海青浦出口加工区,青岛海关,一般贸易,水路运输,2,12000,14127,12
2006,10,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司85,美国,江阴,厦门海关,一般贸易,水路运输,7,225,1422,12
2007,11,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司86,土库曼斯坦,北京其他,广州海关,一般贸易,水路运输,1,1700,1426,12
2008,12,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司87,印度,郑州其他,厦门海关,一般贸易,水路运输,2,11000,14300,12
2010,1,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司88,美国,南通其他,福州海关,一般贸易,水路运输,2,96500,143642,12
2010,2,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司89,美国,津南区,福州海关,一般贸易,水路运输,2,15000,15000,12
2007,3,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司90,南非,东台,青岛海关,一般贸易,水路运输,1,36000,18640,12
2008,4,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司91,英国,成都其他,福州海关,一般贸易,铁路运输,1,26000,19966,12
2011,5,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司92,哈萨克斯坦,盘锦,哈尔滨海关,一般贸易,公路运输,1,3400,2040,12
2006,6,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司93,伊拉克,天津经济技术开发区,青岛海关,一般贸易,水路运输,1,26000,21248,12
2007,7,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司94,澳大利亚,惠民,青岛海关,一般贸易,水路运输,1,25000,21375,12
2007,8,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司95,加拿大,江阴,福州海关,一般贸易,水路运输,1,4560,2280,12
2008,9,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司96,乌兹别克斯坦,江阴,大连海关,一般贸易,水路运输,1,24000,23300,12
2010,10,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司97,伊拉克,天津其他,上海海关,一般贸易,水路运输,1,16,239,12
2009,11,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司98,沙特阿拉伯,濮阳,福州海关,一般贸易,水路运输,1,26000,23920,12
2010,12,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司99,美国,嘉定,拱北海关,一般贸易,水路运输,2,1805,2421,12
2007,1,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司100,厄瓜多尔,江苏其他,青岛海关,一般贸易,水路运输,1,25500,24255,12
2007,2,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司101,印度,牡丹江,福州海关,一般贸易,水路运输,2,17675,25825,12
2011,3,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司102,科威特,闵行其他,拱北海关,一般贸易,公路运输,1,71,27,12
2012,4,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司103,美国,宝鸡其他,青岛海关,一般贸易,水路运输,2,20835,29680,12
2006,5,出口,1.21E+07,鲜、冷、冻或干的刺槐豆、海草及其他藻类、甜菜及甘蔗，不论是否碾磨；主要供人食用的其他税目未列名的果核、果仁及植物产品（包括未培制的菊苣根）：,进出口公司104,古巴,河北其他,福州海关,一般贸易,水路运输,2,1800,3100,12
2007,6,出口,1.21E+07,莲子,进出口公司105,厄瓜多尔,成都其他,拱北海关,一般贸易,水路运输,4,6310,20076,12
2007,7,出口,1.21E+07,莲子,进出口公司106,美国,嘉兴,深圳海关,一般贸易,公路运输,1,33100,21362,12
2009,8,出口,1.21E+07,莲子,进出口公司107,几内亚,广州其他,深圳海关,一般贸易,公路运输,1,3500,2261,12
2006,9,出口,1.21E+07,莲子,进出口公司108,美国,青浦,广州海关,一般贸易,水路运输,3,90,232,12
2010,10,出口,1.21E+07,莲子,进出口公司109,阿曼,松江,江门海关,一般贸易,水路运输,5,500,2340,12
2012,11,出口,1.21E+07,莲子,进出口公司110,印度尼西亚,河北其他,江门海关,一般贸易,水路运输,5,600,2460,12
2006,12,出口,1.21E+07,莲子,进出口公司111,委内瑞拉,上海青浦出口加工区,深圳海关,一般贸易,水路运输,4,7500,25200,12
2012,1,出口,1.21E+07,莲子,进出口公司112,新加坡,株州其他,深圳海关,一般贸易,公路运输,1,4000,2585,12
2010,2,出口,1.21E+07,莲子,进出口公司113,加拿大,宁波其他,拱北海关,一般贸易,公路运输,1,675,268,12
2011,3,出口,1.21E+07,莲子,进出口公司114,新加坡,闵行其他,广州海关,一般贸易,水路运输,2,1615,2709,12
2012,4,出口,1.21E+07,莲子,进出口公司115,美国,淄博,广州海关,一般贸易,水路运输,4,80,314,12
2007,5,出口,1.21E+07,莲子,进出口公司116,俄罗斯,天津其他,深圳海关,一般贸易,公路运输,1,500,323,12
2008,6,出口,1.21E+07,莲子,进出口公司117,美国,潍坊其他,深圳海关,一般贸易,公路运输,1,5000,3232,12
2010,7,出口,1.21E+07,莲子,进出口公司118,阿尔及利亚,天津其他,黄埔海关,一般贸易,水路运输,5,7497,32912,12
2006,8,出口,1.21E+07,莲子,进出口公司1,新加坡,南京其他,深圳海关,一般贸易,水路运输,2,17500,33080,12
2011,9,出口,1.21E+07,莲子,进出口公司2,美国,盐城,广州海关,一般贸易,水路运输,1,100,35,12
2008,10,出口,1.21E+07,莲子,进出口公司3,新加坡,苏州其他,武汉海关,一般贸易,航空运输,8,50,354,12
2008,11,出口,1.21E+07,莲子,进出口公司4,美国,泰州,深圳海关,一般贸易,水路运输,3,17000,36978,12
2008,12,出口,1.21E+07,莲子,进出口公司5,荷兰,漳州,广州海关,一般贸易,水路运输,3,1500,3870,12
2008,1,出口,1.21E+07,莲子,进出口公司6,美国,山西其他,深圳海关,一般贸易,公路运输,4,1158,3884,12
2012,2,出口,1.21E+07,莲子,进出口公司7,美国,北京其他,深圳海关,一般贸易,公路运输,1,15500,3998,12
2009,3,出口,1.21E+07,莲子,进出口公司8,伊朗,东营,深圳海关,一般贸易,公路运输,5,1000,4000,12
2006,4,出口,1.21E+07,莲子,进出口公司9,乍得,天津其他,上海海关,一般贸易,水路运输,5,1050,4200,12
2010,5,出口,1.21E+07,莲子,进出口公司10,伊拉克,上海外高桥保税区,拱北海关,一般贸易,水路运输,3,187,435,12
2006,6,出口,1.21E+07,莲子,进出口公司11,哈萨克斯坦,沧州,上海海关,一般贸易,水路运输,5,1000,4422,12
2010,7,出口,1.21E+07,莲子,进出口公司12,委内瑞拉,昌平,深圳海关,一般贸易,公路运输,1,7000,4515,12
2010,8,出口,1.21E+07,莲子,进出口公司13,芬兰,山西其他,深圳海关,一般贸易,公路运输,1,7000,4518,12
2007,9,出口,1.21E+07,莲子,进出口公司14,美国,西青区,福州海关,一般贸易,水路运输,5,935,4532,12
2011,10,出口,1.21E+07,莲子,进出口公司15,美国,松江,深圳海关,一般贸易,水路运输,3,16250,46250,12
2007,11,出口,1.21E+07,莲子,进出口公司16,土库曼斯坦,成都其他,深圳海关,一般贸易,公路运输,4,13675,47863,12
2006,12,出口,1.21E+07,莲子,进出口公司17,美国,上海其他,深圳海关,一般贸易,水路运输,1,960,480,12
2012,1,出口,1.21E+07,莲子,进出口公司18,美国,苏州其他,拱北海关,一般贸易,水路运输,3,187,484,12
2008,2,出口,1.21E+07,莲子,进出口公司19,委内瑞拉,天津其他,广州海关,一般贸易,水路运输,1,20024,4908,12
2010,3,出口,1.21E+07,莲子,进出口公司20,伊拉克,上海浦东新区,深圳海关,一般贸易,水路运输,5,11100,49950,12
2008,4,出口,1.21E+07,莲子,进出口公司21,尼日尔,天津其他,深圳海关,一般贸易,公路运输,1,7800,5033,12
2010,5,出口,1.21E+07,莲子,进出口公司22,新加坡,宜昌,深圳海关,一般贸易,公路运输,1,7900,5096,12
2007,6,出口,1.21E+07,莲子,进出口公司23,俄罗斯,齐齐哈尔,深圳海关,一般贸易,公路运输,1,800,516,12
2010,7,出口,1.21E+07,莲子,进出口公司24,伊朗,温州其他,深圳海关,一般贸易,公路运输,1,8000,5160,12
2006,8,出口,1.21E+07,莲子,进出口公司25,哈萨克斯坦,盘锦,深圳海关,一般贸易,公路运输,1,8200,5291,12
2009,9,出口,1.21E+07,莲子,进出口公司26,美国,淄博,深圳海关,一般贸易,公路运输,1,800,619,12
2010,10,出口,1.40E+07,竹,进出口公司27,伊拉克,上海浦东新区,黄埔海关,一般贸易,水路运输,1,25037,12130,14
2011,11,出口,1.40E+07,竹,进出口公司28,美国,包头其他,南宁海关,一般贸易,水路运输,1,47000,12360,14
2010,12,出口,1.40E+07,竹,进出口公司29,委内瑞拉,张家口,黄埔海关,一般贸易,水路运输,1,17460,1290,14
2006,1,出口,1.40E+07,竹,进出口公司30,美国,长宁,广州海关,一般贸易,水路运输,1,77400,12900,14
2009,2,出口,1.40E+07,竹,进出口公司31,委内瑞拉,张家口,广州海关,一般贸易,水路运输,1,152600,13623,14
2012,3,出口,1.40E+07,竹,进出口公司32,阿尔及利亚,天津港保税区,黄埔海关,一般贸易,水路运输,1,20000,14000,14
2011,4,出口,1.40E+07,竹,进出口公司33,委内瑞拉,张家口,厦门海关,一般贸易,水路运输,1,31619,14194,14
2009,5,出口,1.40E+07,竹,进出口公司34,俄罗斯,广汉,深圳海关,一般贸易,公路运输,1,280,144,14
2006,6,出口,1.40E+07,竹,进出口公司35,美国,盘锦,广州海关,一般贸易,水路运输,1,148176,14425,14
2009,7,出口,1.40E+07,竹,进出口公司36,乌兹别克斯坦,齐齐哈尔,黄埔海关,一般贸易,水路运输,1,48534,14560,14
2012,8,出口,1.40E+07,竹,进出口公司37,阿尔及利亚,盘锦,广州海关,一般贸易,水路运输,1,228,148,14
2010,9,出口,1.40E+07,竹,进出口公司38,科威特,东营,上海海关,一般贸易,水路运输,5,3145,14840,14
2008,10,出口,1.40E+07,竹,进出口公司39,阿根廷,齐齐哈尔,广州海关,一般贸易,水路运输,1,46810,14979,14
2012,11,出口,1.40E+07,竹,进出口公司40,韩国,上海嘉定出口加工区,厦门海关,一般贸易,水路运输,1,19536,15052,14
2007,12,出口,1.40E+07,竹,进出口公司41,科威特,濮阳,南宁海关,一般贸易,水路运输,1,46300,15182,14
2006,1,出口,1.40E+07,竹,进出口公司42,美国,青岛其他,黄埔海关,一般贸易,水路运输,1,65782,15227,14
2006,2,出口,1.40E+07,竹,进出口公司43,伊拉克,上海其他,上海海关,一般贸易,水路运输,1,26780,15465,14
2011,3,出口,1.40E+07,竹,进出口公司44,卢旺达,上海其他,广州海关,一般贸易,水路运输,1,39000,1560,14
2007,4,出口,1.40E+07,竹,进出口公司45,巴布亚新几内亚,南通其他,福州海关,一般贸易,水路运输,2,140,157,14
2011,5,出口,1.40E+07,竹,进出口公司61,阿联酋,天津其他,黄埔海关,一般贸易,水路运输,1,6155,1670,14
2011,6,出口,1.40E+07,竹,进出口公司57,伊朗,武汉东湖新技术开发区,南宁海关,一般贸易,水路运输,1,73000,17155,14
2009,7,出口,1.40E+07,竹,进出口公司58,新加坡,南京其他,黄埔海关,一般贸易,水路运输,1,2564,1730,14
2006,8,出口,1.40E+07,竹,进出口公司59,埃及,上海其他,广州海关,一般贸易,水路运输,1,215040,17403,14
2012,9,出口,1.40E+07,竹,进出口公司60,新加坡,苏州其他,广州海关,一般贸易,水路运输,1,4050,1800,14
2010,10,出口,1.40E+07,竹,进出口公司61,罗马尼亚,宝鸡其他,黄埔海关,一般贸易,水路运输,1,99253,18014,14
2011,11,出口,1.40E+07,竹,进出口公司62,加拿大,武汉其他,黄埔海关,一般贸易,水路运输,1,122910,18027,14
2012,12,出口,1.40E+07,竹,进出口公司63,阿塞拜疆,宝鸡其他,拱北海关,一般贸易,公路运输,1,1050,181,14
2012,1,出口,1.40E+07,竹,进出口公司64,美国,河南其他,黄埔海关,一般贸易,水路运输,1,92220,18582,14
2006,2,出口,1.40E+07,竹,进出口公司62,安哥拉,常州其他,黄埔海关,一般贸易,水路运输,1,9960,1885,14
2006,3,出口,1.40E+07,竹,进出口公司65,美国,成都其他,福州海关,一般贸易,水路运输,1,38760,18975,14
2006,4,出口,1.40E+07,竹,进出口公司66,阿联酋,青岛其他,江门海关,一般贸易,水路运输,1,42,19,14
2006,5,出口,1.40E+07,竹,进出口公司67,哥伦比亚,天津经济技术开发区,黄埔海关,一般贸易,水路运输,1,49900,19650,14
2012,6,出口,1.40E+07,竹,进出口公司68,尼日利亚,成都其他,深圳海关,一般贸易,水路运输,1,10200,1974,14
2010,7,出口,1.40E+07,竹,进出口公司69,加拿大,大连其他,上海海关,一般贸易,水路运输,1,42000,19911,14
2008,8,出口,1.40E+07,竹,进出口公司60,澳大利亚,荆州,黄埔海关,一般贸易,水路运输,1,30,2,14
2007,9,出口,1.52E+07,精制的玉米油及其分离品,进出口公司79,新加坡,南通其他,深圳海关,进料加工贸易,公路运输,2,270479,272260,15
2009,10,出口,1.52E+07,精制的玉米油及其分离品,进出口公司80,阿根廷,宝鸡其他,青岛海关,一般贸易,水路运输,1,501980,356964,15
2006,11,出口,1.52E+07,精制的玉米油及其分离品,进出口公司81,美国,南通其他,青岛海关,一般贸易,水路运输,1,63310,46929,15
2008,12,出口,1.52E+07,精制的玉米油及其分离品,进出口公司82,马来西亚,南京其他,深圳海关,一般贸易,公路运输,1,1417,963,15
2010,1,出口,1.52E+07,蓖麻油及其分离品(不论是否精制,进出口公司83,新加坡,荆州,,,,,,,15
2009,2,出口,1.52E+07,蓖麻油及其分离品(不论是否精制,进出口公司84,德国,烟台其他,,,,,,,15
2007,3,出口,1.52E+07,蓖麻油及其分离品(不论是否精制,进出口公司85,英国,松江,,,,,,,15
2009,4,出口,1.52E+07,蓖麻油及其分离品(不论是否精制,进出口公司86,马来西亚,吴江市,,,,,,,15
2010,5,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司87,美国,南通其他,南宁海关,一般贸易,水路运输,2,10070,10832,15
2010,6,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司88,新加坡,天津其他,黄埔海关,一般贸易,水路运输,2,60800,113512,15
2006,7,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司89,阿联酋,江苏其他,长沙海关,一般贸易,水路运输,2,136800,153720,15
2012,8,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司90,美国,德州,黄埔海关,一般贸易,水路运输,2,15200,15474,15
2011,9,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司91,俄罗斯,中关村国家自主创新示范区（昌平园）,黄埔海关,一般贸易,水路运输,2,15200,15476,15
2007,10,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司92,阿联酋,荆州,黄埔海关,一般贸易,水路运输,2,15200,15808,15
2010,11,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司93,苏丹,北京其他,长沙海关,一般贸易,水路运输,2,15200,16352,15
2009,12,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司94,阿根廷,南京其他,黄埔海关,一般贸易,水路运输,2,15200,16720,15
2012,1,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司95,新西兰,杭州其他,黄埔海关,一般贸易,水路运输,2,15200,16774,15
2007,2,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司96,沙特阿拉伯,南阳,黄埔海关,一般贸易,水路运输,2,15200,16872,15
2009,3,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司97,土耳其,北京其他,黄埔海关,一般贸易,水路运输,2,15200,17024,15
2011,4,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司98,乌克兰,上海其他,上海海关,一般贸易,水路运输,2,15200,17480,15
2008,5,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司99,伊拉克,荆州,上海海关,一般贸易,水路运输,2,15200,17480,15
2011,6,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司100,印度,郑州其他,黄埔海关,一般贸易,水路运输,2,15200,18076,15
2007,7,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司101,印度尼西亚,武汉其他,南宁海关,一般贸易,水路运输,2,15200,18190,15
2008,8,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司102,泰国,深圳特区,黄埔海关,一般贸易,水路运输,2,15200,18308,15
2009,9,出口,1.52E+07,其他固定植物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性：,进出口公司103,澳大利亚,广汉,上海海关,一般贸易,水路运输,2,15200,19760,15
